# Athena++ data at time=0.000000e+00  cycle=0  variables=hydro.prim 
# i       x1v         hydro.prim.rho          hydro.prim.util_u_1          hydro.prim.util_u_2          hydro.prim.util_u_3          hydro.prim.p      
0161 -4.8095703125 0.000664750629289811751 0 0 0 2.3699079397110063e-05
0162 -4.7607421875 0.00067743824561967785 0 0 0 2.51125353846966822e-05
0163 -4.7119140625 0.000689885265519756788 0 0 0 2.65739529660930287e-05
0164 -4.6630859375 0.000702063618616298761 0 0 0 2.80678441131435198e-05
0165 -4.6142578125 0.000714004054461291125 0 0 0 2.95871193347045189e-05
0166 -4.5654296875 0.00072573497264426007 0 0 0 3.11333714042413612e-05
0167 -4.5166015625 0.00073727976702984456 0 0 0 3.27079629361334359e-05
0168 -4.4677734375 0.000748657223022614494 0 0 0 3.43137554519285542e-05
0169 -4.4189453125 0.000759848665319254909 0 0 0 3.59551667510597076e-05
0170 -4.3701171875 0.000770853167113320741 0 0 0 3.76206502165272766e-05
0171 -4.3212890625 0.000781688635294383832 0 0 0 3.93112710821965429e-05
0172 -4.2724609375 0.000792370158093651266 0 0 0 4.10279313237447123e-05
0173 -4.2236328125 0.00080291055894845208 0 0 0 4.2771399752759853e-05
0174 -4.1748046875 0.000813320798893948254 0 0 0 4.4542331424030284e-05
0175 -4.1259765625 0.000823606326805415793 0 0 0 4.63384357743022048e-05
0176 -4.0771484375 0.000833747437913032576 0 0 0 4.81543714391130827e-05
0177 -4.0283203125 0.000843748789843141588 0 0 0 4.99921973088604378e-05
0178 -3.9794921875 0.000853619716003200537 0 0 0 5.185236572592897e-05
0179 -3.9306640625 0.000863368261087248709 0 0 0 5.37352280454421081e-05
0180 -3.8818359375 0.000873001376667744398 0 0 0 5.56410450250257929e-05
0181 -3.8330078125 0.000882525079514885884 0 0 0 5.7569995516388255e-05
0182 -3.7841796875 0.000891944580165452555 0 0 0 5.95221822843685521e-05
0183 -3.7353515625 0.000901262698768921528 0 0 0 6.1490882624252137e-05
0184 -3.6865234375 0.000910463860839494659 0 0 0 6.34657137219421324e-05
0185 -3.6376953125 0.00091954763828733699 0 0 0 6.54571197533320001e-05
0186 -3.5888671875 0.000928518921688804301 0 0 0 6.7465048457738397e-05
0187 -3.5400390625 0.000937381942785541628 0 0 0 6.94893714813225893e-05
0188 -3.4912109375 0.000946140356287616968 0 0 0 7.15298888436707972e-05
0189 -3.4423828125 0.000954797308480124433 0 0 0 7.35863337094639215e-05
0190 -3.3935546875 0.000963355495106380639 0 0 0 7.5658374714030312e-05
0191 -3.3447265625 0.000971817210499413401 0 0 0 7.77456183928244642e-05
0192 -3.2958984375 0.000980184389560683454 0 0 0 7.98476113066553438e-05
0193 -3.2470703125 0.000988456547866284427 0 0 0 8.19509730457766841e-05
0194 -3.1982421875 0.000996620766816809847 0 0 0 8.40486298902409242e-05
0195 -3.1494140625 0.0010046765471604679 0 0 0 8.61536880205599853e-05
0196 -3.1005859375 0.0010126259810609578 0 0 0 8.82661400973096873e-05
0197 -3.0517578125 0.00102047082751770659 0 0 0 9.03847447692382184e-05
0198 -3.0029296875 0.00102821254614390975 0 0 0 9.25088295589254479e-05
0199 -2.9541015625 0.0010358523264949735 0 0 0 9.46376684083202784e-05
0200 -2.9052734375 0.00104339111367040367 0 0 0 9.67704813204625414e-05
0201 -2.8564453125 0.00105082963077995461 0 0 0 9.89064381141519769e-05
0202 -2.8076171875 0.00105816839876171479 0 0 0 0.000101044659879090162
0203 -2.7587890625 0.00106540775394432623 0 0 0 0.000103184218961497635
0204 -2.7099609375 0.00107254786370518038 0 0 0 0.000105324141122189004
0205 -2.6611328125 0.00107958874732002881 0 0 0 0.000107463408919369839
0206 -2.6123046875 0.00108652397376259751 0 0 0 0.000109570654411788725
0207 -2.5634765625 0.00109334735074460691 0 0 0 0.000111670428904352497
0208 -2.5146484375 0.00110005936076480845 0 0 0 0.00011376204352411255
0209 -2.4658203125 0.00110666032493961382 0 0 0 0.000115844468709583906
0210 -2.4169921875 0.00111315041184099624 0 0 0 0.000117916638435220733
0211 -2.3681640625 0.0011195296511915425 0 0 0 0.000119977449436448459
0212 -2.3193359375 0.00112579794623595287 0 0 0 0.000122025764205035663
0213 -2.2705078125 0.0011319550849794842 0 0 0 0.000124060412914920519
